qi,uf,u_new,P
13.90261825203143,12.708344639245029,15.69713080312013,149.4392261595122
15.69713080312013,15.135199719980745,13.309474665605139,149.4425219866003
13.309474665605139,12.19824808539798,15.351126767878576,149.44268660773238
15.351126767878576,14.743698827237932,13.111239274089977,149.44285007239378
13.111239274089977,11.987501460756835,15.265552685892512,149.44311793714482
15.265552685892512,14.585999284114035,13.123319801267792,149.4436004660973
13.123319801267792,11.974434833152639,15.303388251587865,149.44395303197888
15.303388251587865,14.552043676798876,13.244771840933105,149.44430909248103
13.244771840933105,12.069338853231434,15.406390773683643,149.44472563878193
15.406390773683643,14.58973694285905,13.476428352910313,149.4952888003439
13.476428352910313,12.282780579106525,15.539720284866775,149.4957497695026
15.539720284866775,14.666502903510967,13.652817508022421,149.49612693676733
13.652817508022421,12.435580100647755,15.690091215654364,149.49664746643498
15.690091215654364,14.767213155529037,13.87352029203801,149.49739387255374
13.87352029203801,12.638412226441796,15.844790340003511,149.49794039754426
15.844790340003511,14.878658037366254,14.094380458213077,149.4983987150361
14.094380458213077,12.84396657791772,15.99696889040052,149.49899815137255
15.99696889040052,14.993231776490592,14.315572650731973,149.49989000282653
14.315572650731973,13.052724500547965,16.141903771516528,149.50050157736194
16.141903771516528,15.105401399995158,14.524043796203403,149.5010170090551
14.524043796203403,13.25044747085836,16.277495559980146,149.50167786233123
16.277495559980146,15.212372602333316,14.723600838419339,149.50267363702105
14.723600838419339,13.441148476589452,16.402123009395336,149.50333357080137
16.402123009395336,15.311895715881553,14.906904394701806,149.50388504783595
14.906904394701806,13.616687445811634,16.515657332721453,149.50459309273842
16.515657332721453,15.40334516590883,15.079291598624375,149.50565545593622
15.079291598624375,13.78266153515901,16.620110714112915,149.57301526127725
16.620110714112915,15.489256176921321,15.289569757590979,149.64837090109242
15.289569757590979,13.991826240509448,16.706625704796558,149.64924734185598
16.706625704796558,15.558679207042376,15.395815767061455,149.64973375958627
15.395815767061455,14.090467567302568,16.779412553289955,149.65032347278765
16.779412553289955,15.615708183307653,15.52867298809486,149.65187330342255
15.52867298809486,14.21955778554663,16.851163414002684,149.65279899614524
16.851163414002684,15.67380097749016,15.638540248131735,149.65330909811732
15.638540248131735,14.325041652779754,16.911018777278542,149.6539195234311
16.911018777278542,15.721182255939798,15.750923905178778,149.6555392699983
15.750923905178778,14.434640262333742,16.96706067620368,149.65650873627055
16.96706067620368,15.766287252854744,15.84558265590541,149.65703361005595
15.84558265590541,14.526291502538355,17.013251196622292,149.65766348295546
17.013251196622292,15.8024942615271,15.938971707676497,149.65934223491925
15.938971707676497,14.617694470417925,17.055426474443824,149.66034699377758
17.055426474443824,15.835855752390158,16.01778752615452,149.66088233612786
16.01778752615452,14.694379521873865,17.089482517032298,149.66152906535672
17.089482517032298,15.86184610950351,16.09510681637043,149.66324977934246
16.09510681637043,14.770343805805899,17.120146358653283,149.66427629829312
17.120146358653283,15.885361693310134,16.15997583323118,149.6648185132969
16.15997583323118,14.833710883226669,17.144134799474898,149.66547889742324
17.144134799474898,15.902782625594082,16.256529536330643,149.7583283525921
16.256529536330643,14.93057209243529,17.166508561519365,149.75939672304378
17.166508561519365,15.91955852488086,16.307909279576403,149.76034545223882
16.307909279576403,14.980869845717264,17.183560008306607,149.76101866491098
17.183560008306607,15.931256341283735,16.350715195144076,149.7617312573987
16.350715195144076,15.022506074922973,17.198958461448793,149.76281655210508
17.198958461448793,15.941842413245825,16.394988550479656,149.7637728961851
16.394988550479656,15.066259211379677,17.20955144989739,149.7644498313599
17.20955144989739,15.947938547762005,16.432681226970875,149.7651701284405
16.432681226970875,15.10333058370847,17.219159555145332,149.76626175263704
17.219159555145332,15.953556946258797,16.47030983539414,149.76722283947183
16.47030983539414,15.140732953015576,17.224643641537366,149.7679013399215
17.224643641537366,15.955298296902635,16.502751735060063,149.76862891771353
16.502751735060063,15.172878876474593,17.229795224088928,149.76972471047057
17.229795224088928,15.957145004690807,16.53459294349842,149.7706887341611
16.53459294349842,15.204692709529727,17.231419940473177,149.771368280707
17.231419940473177,15.955643773452346,16.56225989830603,149.77210297376064
16.56225989830603,15.232279945668585,17.233242560962967,149.77320285135696
17.233242560962967,15.954717508056351,16.589221022696353,149.77416808334482
16.589221022696353,15.25935548778851,17.24870422039028,149.86023040847033
17.24870422039028,15.967880086792919,16.61283567118686,149.8609371678351
16.61283567118686,15.283187746341317,17.24250038147992,149.86180449133826
17.24250038147992,15.959131066554669,16.63652968845379,149.86280959505982
16.63652968845379,15.307092572138982,17.234903788492723,149.86356870654296
17.234903788492723,15.949139501666654,16.69373345232545,149.94990761821782
16.69373345232545,15.366407254546447,17.23266722768564,149.95083518713923
17.23266722768564,15.945082537098383,16.694249513936718,149.95140462454043
16.694249513936718,15.365615961882948,17.227892592477254,149.9521635116084
17.227892592477254,15.938310633316714,16.71679845827108,149.95375457635464
16.71679845827108,15.388815615454927,17.224828033601057,149.9546936035058
17.224828033601057,15.933535457516015,16.723331461367525,149.95526741180262
16.723331461367525,15.394809248115646,17.219521405320194,149.95602514725363
17.219521405320194,15.926509201501277,16.74284107993424,149.95761028258042
16.74284107993424,15.414909874985344,17.215681795535353,149.95856073197206
17.215681795535353,15.92121253650259,16.751067917388287,149.95913739486764
16.751067917388287,15.422929948681022,17.20998960141385,149.95989372035552
17.20998960141385,15.914060672903155,16.767965195148903,149.96146965103532
16.767965195148903,15.440371784190523,17.205645077053948,149.9624320015883
17.205645077053948,15.908477244283281,16.776325735951588,149.96301135738966
16.776325735951588,15.448698382530663,17.199741771213024,149.96376598542227
